,State,scode,Year,Deaths,Population,waitingh,permith,rate_calculated,log_rate,scode_char,Region,Division,rate_other,log_other,rate_combined,log_everything,rate_all,rlong_guns,log_long,BRFSS,perc_rural,perc_hs,less_9th,Median_inc,perc_male,perc_white,u_rate,Delay,treatment,Post,treatmentvar
0,Alabama,1.0,2000.0,389,4447100,0.0,0.0,8.7,2.163323025660538,AL,South,East South Central,3.5,1.252762968495368,13.1,2.5726122302071057,9.6,0.9000000000000004,0.6418538861723949,0.525519189,0.449753553,30.4,8.3,34135,0.482675002,0.711206854,4.7,0,1,0,0
1,Alabama,1.0,2001.0,333,4467634,0.0,0.0,7.5,2.0149030205422647,AL,South,East South Central,2.8,1.0296194171811581,11.5,2.4423470353692043,8.7,1.1999999999999993,0.7884573603642698,0.525519189,0.449753553,30.4,8.3,34135,0.482675002,0.711206854,5.9,0,1,0,0
2,Alabama,1.0,2002.0,334,4480089,0.0,0.0,7.5,2.0149030205422647,AL,South,East South Central,2.9,1.0647107369924282,11.5,2.4423470353692043,8.5,1.0,0.6931471805599453,0.525519189,0.449753553,30.4,8.3,34135,0.482675002,0.711206854,5.9,0,1,0,0
3,Alabama,1.0,2003.0,350,4503491,0.0,0.0,7.8,2.0541237336955462,AL,South,East South Central,2.7,0.9932517730102834,11.5,2.4423470353692043,8.9,1.1000000000000005,0.7419373447293776,0.525519189,0.449753553,30.4,8.3,34135,0.482675002,0.711206854,5.9,0,1,0,0
4,Alabama,1.0,2004.0,333,4530729,0.0,0.0,7.3,1.9878743481543455,AL,South,East South Central,3.7,1.308332819650179,11.9,2.4765384001174837,8.3,1.0000000000000009,0.6931471805599457,0.525519189,0.449753553,30.4,8.3,34135,0.482675002,0.711206854,5.1,0,1,0,0
5,Alabama,1.0,2005.0,324,4569805,0.0,0.0,7.1,1.9600947840472698,AL,South,East South Central,3.6,1.2809338454620642,11.7,2.4595888418037104,8.1,1.0,0.6931471805599453,0.525519189,0.449753553,30.4,8.3,34135,0.482675002,0.711206854,4.2,0,1,0,0
6,Alabama,1.0,2006.0,360,4628981,0.0,0.0,7.8,2.0541237336955462,AL,South,East South Central,3.9,1.3609765531356006,12.5,2.5257286443082556,8.6,0.7999999999999998,0.587786664902119,0.525519189,0.449753553,30.4,8.3,34135,0.482675002,0.711206854,3.8,0,1,0,0
7,Alabama,1.0,2007.0,359,4672840,0.0,0.0,7.7,2.0412203288596382,AL,South,East South Central,4.2,1.4350845252893227,12.7,2.5416019934645457,8.5,0.7999999999999998,0.587786664902119,0.525519189,0.449753553,30.4,8.3,34135,0.482675002,0.711206854,4.4,0,1,0,0
8,Alabama,1.0,2008.0,385,4718206,0.0,0.0,8.2,2.1041341542702074,AL,South,East South Central,3.8,1.33500106673234,12.8,2.5494451709255714,9.0,0.8000000000000007,0.5877866649021194,0.525519189,0.449753553,30.4,8.3,34135,0.482675002,0.711206854,7.8,0,1,1,1
9,Alabama,1.0,2009.0,433,4757938,0.0,0.0,9.1,2.2082744135228043,AL,South,East South Central,4.1,1.410986973710262,14.1,2.6461747973841225,10.1,1.0,0.6931471805599453,0.525519189,0.449753553,30.4,8.3,34135,0.482675002,0.711206854,11.1,0,1,1,1
10,Alaska,2.0,2000.0,68,626932,0.0,0.0,10.8,2.379546134130174,AK,West,Pacific,6.5,1.8718021769015913,21.9,3.086486636822455,15.3,4.5,1.7047480922384253,0.58039848,0.394933673,27.9,4.1,51571,0.516981108,0.693111853,6.3,0,1,0,0
11,Alaska,2.0,2001.0,62,633714,0.0,0.0,9.8,2.2823823856765264,AK,West,Pacific,5.7,1.7404661748405046,15.9,2.766319109226186,10.3,0.5,0.4054651081081644,0.58039848,0.394933673,27.9,4.1,51571,0.516981108,0.693111853,6.7,0,1,0,0
12,Alaska,2.0,2002.0,88,642337,0.0,0.0,13.7,2.617395832834079,AK,West,Pacific,6.2,1.824549292051046,20.5,3.0204248861443626,14.3,0.6000000000000014,0.47000362924573647,0.58039848,0.394933673,27.9,4.1,51571,0.516981108,0.693111853,7.4,0,1,0,0
13,Alaska,2.0,2003.0,76,648414,0.0,0.0,11.7,2.4595888418037104,AK,West,Pacific,6.9,1.9315214116032138,19.1,2.9496883350525844,12.2,0.5,0.4054651081081644,0.58039848,0.394933673,27.9,4.1,51571,0.516981108,0.693111853,7.6,0,1,0,0
14,Alaska,2.0,2004.0,89,659286,0.0,0.0,13.5,2.6026896854443837,AK,West,Pacific,9.3,2.2300144001592104,23.5,3.1570004211501135,14.3,0.8000000000000007,0.5877866649021194,0.58039848,0.394933673,27.9,4.1,51571,0.516981108,0.693111853,7.2,0,1,0,0
15,Alaska,2.0,2005.0,82,666946,0.0,0.0,12.3,2.509599262378372,AK,West,Pacific,6.6,1.8870696490323797,19.6,2.975529566236472,13.0,0.6999999999999993,0.5306282510621699,0.58039848,0.394933673,27.9,4.1,51571,0.516981108,0.693111853,7.0,0,1,0,0
16,Alaska,2.0,2006.0,70,675302,0.0,0.0,10.4,2.341805806147327,AK,West,Pacific,8.3,2.1162555148025524,20.0,2.995732273553991,11.7,1.299999999999999,0.8329091229351036,0.58039848,0.394933673,27.9,4.1,51571,0.516981108,0.693111853,6.3,0,1,0,0
17,Alaska,2.0,2007.0,89,680300,0.0,0.0,13.1,2.5726122302071057,AK,West,Pacific,8.1,2.0918640616783932,21.9,3.086486636822455,13.8,0.7000000000000011,0.530628251062171,0.58039848,0.394933673,27.9,4.1,51571,0.516981108,0.693111853,6.2,0,1,0,0
18,Alaska,2.0,2008.0,74,687455,0.0,0.0,10.8,2.379546134130174,AK,West,Pacific,7.7,2.0412203288596382,24.6,3.202746442938317,16.9,6.099999999999998,1.9600947840472693,0.58039848,0.394933673,27.9,4.1,51571,0.516981108,0.693111853,6.9,0,1,1,1
19,Alaska,2.0,2009.0,46,698895,0.0,0.0,6.6,1.8870696490323797,AK,West,Pacific,9.2,2.2192034840549946,20.5,3.0204248861443626,11.3,4.700000000000001,1.7404661748405046,0.58039848,0.394933673,27.9,4.1,51571,0.516981108,0.693111853,8.4,0,1,1,1
20,Arizona,4.0,2000.0,452,5130632,0.0,0.0,8.8,2.174751721484161,AZ,West,Mountain,5.7,1.7404661748405046,15.3,2.72785282839839,9.5,0.6999999999999993,0.5306282510621699,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,4.0,0,1,0,0
21,Arizona,4.0,2001.0,428,5273477,0.0,0.0,8.1,2.0918640616783932,AZ,West,Mountain,5.6,1.7227665977411035,14.4,2.667228206581955,8.9,0.8000000000000007,0.5877866649021194,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,5.9,0,1,0,0
22,Arizona,4.0,2002.0,494,5396255,0.0,0.0,9.2,2.2192034840549946,AZ,West,Mountain,6.0,1.791759469228055,16.4,2.797281334830153,10.4,1.200000000000001,0.7884573603642706,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,6.0,0,1,0,0
23,Arizona,4.0,2003.0,453,5510364,0.0,0.0,8.2,2.1041341542702074,AZ,West,Mountain,6.4,1.8562979903656263,15.2,2.7212954278522306,8.8,0.6000000000000014,0.47000362924573647,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,5.4,0,1,0,0
24,Arizona,4.0,2004.0,451,5652404,0.0,0.0,8.0,2.0794415416798357,AZ,West,Mountain,6.5,1.8718021769015913,15.6,2.747270914255491,9.0,1.0,0.6931471805599453,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,4.6,0,1,0,0
25,Arizona,4.0,2005.0,459,5839077,0.0,0.0,7.9,2.066862759472976,AZ,West,Mountain,7.4,2.0014800002101243,16.2,2.785011242238338,8.8,0.9000000000000004,0.6418538861723949,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,4.6,0,1,0,0
26,Arizona,4.0,2006.0,516,6029141,0.0,0.0,8.6,2.151762203259462,AZ,West,Mountain,6.9,1.9315214116032138,16.2,2.785011242238338,9.3,0.7000000000000011,0.530628251062171,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,4.0,0,1,0,0
27,Arizona,4.0,2007.0,510,6167681,0.0,0.0,8.3,2.1162555148025524,AZ,West,Mountain,7.5,2.0149030205422647,16.5,2.803360380906535,8.9,0.5999999999999996,0.47000362924573535,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,4.1,0,1,0,0
28,Arizona,4.0,2008.0,474,6280362,0.0,0.0,7.5,2.0149030205422647,AZ,West,Mountain,6.9,1.9315214116032138,15.5,2.740840023925201,8.6,1.0999999999999996,0.7419373447293771,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,7.7,0,1,1,1
29,Arizona,4.0,2009.0,576,6343154,0.0,0.0,9.1,2.2082744135228043,AZ,West,Mountain,7.1,1.9600947840472698,16.7,2.8154087194227095,9.5,0.40000000000000036,0.33647223662121317,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,10.6,0,1,1,1
30,Arkansas,5.0,2000.0,214,2673400,0.0,0.0,8.0,2.0794415416798357,AR,South,West South Central,3.9,1.3609765531356006,13.1,2.5726122302071057,9.1,1.0999999999999996,0.7419373447293771,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,4.2,0,1,0,0
31,Arkansas,5.0,2001.0,247,2691571,0.0,0.0,9.2,2.2192034840549946,AR,South,West South Central,4.0,1.3862943611198906,14.2,2.653241964607215,10.2,1.0,0.6931471805599453,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.3,0,1,0,0
32,Arkansas,5.0,2002.0,220,2705927,0.0,0.0,8.1,2.0918640616783932,AR,South,West South Central,4.4,1.4816045409242156,13.9,2.631888840136646,9.5,1.4000000000000004,0.8754687373539001,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.4,0,1,0,0
33,Arkansas,5.0,2003.0,230,2724816,0.0,0.0,8.4,2.128231705849268,AR,South,West South Central,4.2,1.4350845252893227,13.7,2.617395832834079,9.5,1.0999999999999996,0.7419373447293771,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.7,0,1,0,0
34,Arkansas,5.0,2004.0,199,2749686,0.0,0.0,7.2,1.9740810260220096,AR,South,West South Central,4.7,1.547562508716013,13.1,2.5726122302071057,8.4,1.2000000000000002,0.7884573603642703,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.4,0,1,0,0
35,Arkansas,5.0,2005.0,230,2781097,0.0,0.0,8.3,2.1162555148025524,AR,South,West South Central,5.0,1.6094379124341003,14.4,2.667228206581955,9.4,1.0999999999999996,0.7419373447293771,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.2,0,1,0,0
36,Arkansas,5.0,2006.0,212,2821761,0.0,0.0,7.5,2.0149030205422647,AR,South,West South Central,4.4,1.4816045409242156,13.1,2.5726122302071057,8.8,1.3000000000000007,0.8329091229351043,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.3,0,1,0,0
37,Arkansas,5.0,2007.0,223,2848650,0.0,0.0,7.8,2.0541237336955462,AR,South,West South Central,5.5,1.7047480922384253,14.1,2.6461747973841225,8.6,0.7999999999999998,0.587786664902119,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.2,0,1,0,0
38,Arkansas,5.0,2008.0,245,2874554,0.0,0.0,8.5,2.1400661634962708,AR,South,West South Central,5.9,1.7749523509116738,15.5,2.740840023925201,9.6,1.0999999999999996,0.7419373447293771,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,6.7,0,1,1,1
39,Arkansas,5.0,2009.0,257,2896843,0.0,0.0,8.9,2.186051276738094,AR,South,West South Central,4.7,1.547562508716013,14.6,2.681021528714291,9.8,0.9000000000000004,0.6418538861723949,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,7.9,0,1,1,1
40,California,6.0,2000.0,1266,33871648,1.0,1.0,3.7,1.308332819650179,CA,West,Pacific,4.4,1.4816045409242156,8.7,2.163323025660538,4.4,0.7000000000000002,0.5306282510621705,0.214033918,0.067541831,20.1,11.5,47493,0.498201091,0.59548502,4.8,1,0,0,0
